id_transaccion,monto,tipo_transaccion,pais,dispositivo,hora,dias_cuenta_creada,fraude
1,56.31,pago,Argentina,movil,9,1163,0
2,361.21,pago,Peru,web,22,1541,0
3,158.01,compra,Mexico,POS,4,578,0
4,109.55,pago,Chile,movil,17,1647,0
5,20.35,compra,Chile,cajero,8,1208,0
6,20.35,transferencia,Chile,movil,15,780,0
7,7.18,retiro,Colombia,web,6,170,0
8,241.35,compra,Colombia,cajero,9,362,1
9,110.29,transferencia,Chile,POS,4,244,0
10,147.75,pago,Argentina,movil,6,1867,0
11,2.5,transferencia,Argentina,movil,4,138,0
12,420.43,retiro,Colombia,POS,14,1052,0
13,214.37,pago,Chile,movil,18,519,0
14,28.64,retiro,Argentina,movil,9,1422,0
15,24.08,transferencia,Colombia,movil,7,333,0
16,24.31,transferencia,Chile,cajero,23,965,0
17,43.53,transferencia,Peru,cajero,8,1341,0
18,89.27,pago,Chile,web,10,563,0
19,67.86,pago,Chile,movil,21,426,0
20,41.31,compra,Mexico,web,1,1160,0
21,113.56,retiro,Mexico,cajero,2,1714,0
22,18.03,pago,Peru,movil,12,641,0
23,41.46,compra,Peru,web,10,709,0
24,54.75,retiro,Chile,movil,9,1291,0
25,73.07,compra,Argentina,movil,14,107,0
26,184.55,pago,Peru,POS,5,560,0
27,26.73,transferencia,Chile,web,0,138,0
28,86.64,transferencia,Colombia,cajero,13,1935,0
29,107.7,retiro,Mexico,web,17,615,0
30,5.71,transferencia,Argentina,web,23,47,0
31,112.24,pago,Chile,web,10,1689,0
32,22.44,pago,Colombia,POS,7,368,0
33,8.07,pago,Mexico,movil,21,6,0
34,356.84,retiro,Colombia,cajero,2,523,0
35,404.48,transferencia,Chile,POS,13,529,0
36,198.28,pago,Peru,cajero,1,1679,0
37,43.59,retiro,Mexico,POS,15,1296,0
38,12.33,compra,Colombia,movil,5,1848,0
39,138.33,retiro,Peru,cajero,0,66,0
40,69.61,compra,Argentina,web,13,420,0
41,15.62,retiro,Chile,POS,9,1363,0
42,82.03,pago,Chile,cajero,5,934,0
43,4.2,transferencia,Mexico,movil,8,498,0
44,288.05,retiro,Colombia,cajero,6,1493,0
45,35.93,retiro,Argentina,POS,1,331,0
46,130.35,retiro,Mexico,movil,10,768,0
47,44.83,pago,Mexico,web,13,1001,0
48,88.09,pago,Colombia,POS,4,1663,0
49,94.95,pago,Argentina,POS,8,1155,0
50,24.53,pago,Colombia,movil,6,530,0
51,419.14,transferencia,Chile,POS,13,1743,0
52,179.07,compra,Peru,cajero,15,1625,0
53,336.61,transferencia,Chile,web,21,1462,0
54,270.26,transferencia,Chile,cajero,15,243,0
55,109.33,pago,Mexico,movil,6,1487,0
56,305.93,retiro,Chile,POS,9,350,0
57,11.12,pago,Argentina,web,20,1041,0
58,26.18,transferencia,Chile,movil,5,1490,0
59,5.55,pago,Argentina,cajero,16,735,0
60,47.22,pago,Colombia,POS,0,882,0
61,59.06,compra,Mexico,POS,1,363,0
62,37.99,compra,Argentina,movil,13,1234,0
63,211.75,pago,Chile,cajero,3,1015,0
64,52.95,pago,Mexico,POS,8,1635,0
65,39.58,retiro,Mexico,cajero,22,525,0
66,93.89,transferencia,Argentina,web,5,831,0
67,18.23,pago,Argentina,POS,16,782,0
68,194.46,pago,Peru,web,20,1723,0
69,9.3,compra,Peru,POS,10,420,0
70,520.1,transferencia,Mexico,movil,3,786,0
71,177.54,pago,Peru,POS,20,133,0
72,26.58,retiro,Chile,POS,8,14,0
73,0.66,pago,Colombia,cajero,15,1817,0
74,202.79,transferencia,Mexico,cajero,2,1068,0
75,147.25,compra,Colombia,web,3,1401,0
76,156.68,pago,Peru,web,23,295,0
77,177.03,retiro,Argentina,web,2,1420,0
78,9.23,transferencia,Mexico,POS,12,1128,0
79,53.27,pago,Peru,POS,18,445,0
80,14.78,pago,Chile,web,20,1086,0
81,238.62,transferencia,Mexico,movil,0,1589,0
82,117.16,transferencia,Mexico,movil,22,1845,0
83,48.22,compra,Argentina,POS,22,412,0
84,7.88,transferencia,Mexico,movil,5,1955,0
85,44.7,transferencia,Argentina,movil,21,630,0
86,47.2,pago,Peru,web,2,321,0
87,156.95,retiro,Chile,movil,2,1155,0
88,121.79,transferencia,Chile,movil,15,1835,0
89,261.87,pago,Mexico,POS,9,818,0
90,76.69,transferencia,Mexico,POS,16,1223,0
91,15.28,transferencia,Peru,POS,6,905,0
92,149.9,transferencia,Argentina,movil,12,36,0
93,171.65,compra,Chile,web,10,791,0
94,98.87,transferencia,Argentina,cajero,9,1240,0
95,176.87,transferencia,Peru,POS,6,586,0
96,81.7,pago,Chile,POS,23,306,0
97,88.76,compra,Chile,POS,5,1591,0
98,66.94,transferencia,Colombia,web,23,1008,0
99,3.09,pago,Peru,cajero,0,893,0
100,13.7,transferencia,Peru,cajero,16,12,0
101,3.83,pago,Colombia,POS,11,83,0
102,121.41,pago,Argentina,movil,3,1056,0
103,45.29,pago,Colombia,POS,2,1432,0
104,85.25,pago,Peru,POS,5,1110,0
105,285.75,pago,Argentina,movil,15,1987,0
106,34.41,transferencia,Chile,movil,12,1768,0
107,63.39,pago,Colombia,POS,8,1435,0
108,169.05,transferencia,Argentina,web,10,957,0
109,31.18,retiro,Argentina,web,19,1811,0
110,9.61,compra,Argentina,movil,20,713,0
111,41.06,compra,Colombia,POS,12,1587,0
112,21.1,compra,Chile,web,22,1856,0
113,318.59,retiro,Argentina,POS,18,1280,0
114,198.11,retiro,Colombia,POS,2,241,0
115,120.42,transferencia,Peru,POS,11,1741,1
116,246.18,retiro,Colombia,web,18,898,0
117,195.36,pago,Colombia,cajero,7,1956,0
118,24.78,pago,Colombia,POS,13,896,0
119,267.7,retiro,Argentina,web,21,907,0
120,93.01,transferencia,Colombia,cajero,8,1732,0
121,197.68,pago,Peru,movil,23,1476,0
122,271.71,compra,Argentina,web,16,756,0
123,45.93,transferencia,Peru,cajero,5,1856,0
124,13.99,pago,Mexico,web,3,1025,0
125,31.04,compra,Colombia,cajero,3,601,0
126,66.85,retiro,Argentina,cajero,18,282,0
127,204.46,pago,Argentina,web,11,651,0
128,236.56,transferencia,Colombia,movil,1,599,0
129,0.84,pago,Chile,POS,16,1538,0
130,85.79,compra,Chile,cajero,14,979,0
